ref_date,type_of_crop,price_year_before,price_current_year,price_diff_dollars_per_ton,percent_diff
1917,Barley,41.56,56.11,14.55,35.01
1980,"Beans, all dry (white and coloured)",465,628,163,35.05
1914,"Mixed grains",23.44,31.67,8.23,35.11
1962,"Sugar beets",14.53,19.72,5.19,35.72
1916,Oats,28.89,39.33,10.44,36.14
1914,"Rye, all",26.67,36.33,9.66,36.22
1973,"Corn for silage",10.4,14.2,3.8,36.54
1983,"Corn for grain",126.25,173,46.75,37.03
1917,"Corn for silage",0.54,0.74,0.2,37.04
1983,Soybeans,250,343,93,37.2
1947,Oats,40.22,55.22,15,37.29
1917,"Rye, all",49,67.33,18.33,37.41
1917,"Wheat, all",56,77.33,21.33,38.09
1947,Soybeans,81,112,31,38.27
1916,Barley,29.78,41.56,11.78,39.56
1917,"Beans, all dry (white and coloured)",207.25,289.5,82.25,39.69
1942,Flaxseed,55,77,22,40
1980,"Mixed grains",102.67,143.89,41.22,40.15
1934,"Tame hay",0.92,1.29,0.37,40.22
1983,"Canola (rapeseed)",271,381.2,110.2,40.66
1983,"Sunflower seed",199.5,281.5,82,41.1
1984,Lentils,350.33,495.67,145.34,41.49
1945,"Rye, all",37.33,53,15.67,41.98
1916,"Rye, all",34.5,49,14.5,42.03
1916,"Corn for grain",35.5,50.5,15,42.25
1976,Soybeans,181,259,78,43.09
1933,Flaxseed,33.33,47.83,14.5,43.5
1979,"Rye, all",97.5,140.33,42.83,43.93
1972,"Canola (rapeseed)",96,138.75,42.75,44.53
1979,"Beans, all dry (white and coloured)",321,465,144,44.86
1980,Buckwheat,170.5,247,76.5,44.87
1947,"Beans, all dry (white and coloured)",125.5,182,56.5,45.02
1916,"Wheat, all",38.56,56,17.44,45.23
1917,Flaxseed,82.4,120.8,38.4,46.6
1973,Soybeans,143,210,67,46.85
1917,"Mixed grains",37.44,55,17.56,46.9
1946,"Rye, all",53,78.17,25.17,47.49
1936,Barley,21.67,32,10.33,47.67
1972,"Rye, all",35.17,52.17,17,48.34
1947,"Rye, all",78.17,116,37.83,48.39
1917,"Peas, dry",81.62,121.88,40.26,49.33
1924,"Rye, all",29.25,43.75,14.5,49.57
1936,"Corn for grain",18,27,9,50
1974,"Sugar beets",35.17,53.07,17.9,50.9
1918,"Tame hay",1.29,1.95,0.66,51.16
1959,"Canola (rapeseed)",58,88,30,51.72
1918,"Sugar beets",0.74,1.13,0.39,52.7
1981,Buckwheat,247,378.5,131.5,53.24
1943,"Rye, all",23.67,36.5,12.83,54.2
1974,"Tame hay",31.31,48.54,17.23,55.03
1917,"Corn for grain",50.5,78.5,28,55.45
1916,"Beans, all dry (white and coloured)",130.75,207.25,76.5,58.51
1973,"Sunflower seed",128.67,204.67,76,59.07
1947,"Corn for grain",39.5,64.5,25,63.29
1910,Flaxseed,47.33,77.4,30.07,63.53
1958,"Mustard seed",68.5,113.5,45,65.69
1973,"Peas, dry",107.17,179,71.83,67.02
1973,"Sugar beets",20.7,35.17,14.47,69.9
1973,"Corn for grain",66.33,114,47.67,71.87
1972,Flaxseed,86,148.25,62.25,72.38
1936,"Rye, all",16.5,28.5,12,72.73
1947,Flaxseed,118,207.8,89.8,76.1
1973,Oats,57.78,101.78,44,76.15
1973,"Mixed grains",53.11,94.56,41.45,78.05
1973,"Canola (rapeseed)",138.75,253,114.25,82.34
1973,"Rye, all",52.17,96.33,44.16,84.65
1973,Barley,56.44,105.56,49.12,87.03
1973,Buckwheat,61.8,115.8,54,87.38
1979,"Sugar beets",32.07,64.6,32.53,101.43
1973,"Wheat, all",65.78,139.33,73.55,111.81
1973,"Mustard seed",79.67,170.67,91,114.22
1974,"Sunflower seed",204.67,450,245.33,119.87
1974,"Mustard seed",170.67,389.67,219,128.32
1973,"Beans, all dry (white and coloured)",193,451,258,133.68
1983,"Beans, all dry (white and coloured)",264,622,358,135.61
1973,Flaxseed,148.25,366,217.75,146.88
1953,"Sugar beets",1.62,14.42,12.8,790.12
1953,"Tame hay",1.63,15.37,13.74,842.94
1953,"Corn for silage",0.77,7.54,6.77,879.22
